Comment,Description,Designator,Footprint,LibRef,Quantity

"AD826ANZ","AD826ANZ, Dual Operational Amplifier Voltage Feedback 29MHz 9 to 28V, 8-Pin MPDIP","B1, B2, B3","DIP794W56P254L959H533Q8N","AD826ANZ","3"
"NE5532","AD826ANZ, Dual Operational Amplifier Voltage Feedback 29MHz 9 to 28V, 8-Pin MPDIP","B4, B5","DIP794W56P254L959H533Q8N","AD826ANZ","2"
"470nF","Capacitor","C1","RAD-0.3","Cap","1"
"100nF","Capacitor","C2","RAD-0.3","Cap","1"
"15nF","Capacitor","C3","RAD-0.3","Cap","1"
"1nF","Capacitor","C4","RAD-0.3","Cap","1"
"Cap","Capacitor","C5, C6, C7, C8, C9, C10, C11, C12","RAD-0.3","Cap","8"
"Cap Pol1","Polarized Capacitor (Radial)","CP","RB7.6-15","Cap Pol1","1"
"1N4148","DIODE GEN PURP 100V 200MA DO35","D1, D2","FP-017AG-MFG","CMP-07163-000046-1","2"
"Output Header","Header, 2-Pin","H1","HDR1X2","Header 2","1"
"Power","Header, 3-Pin","H2","HDR1X3","Header 3","1"
"1M Pot sawtooth","25 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 1 Turn Top Adjustment","P1","TRIM_3362P-1-253LF","3362P-1-253LF","1"
"100k Pot duty cycle","Header, 3-Pin","P2","HDR1X3","Header 3","1"
"100k Pot freq","Header, 2-Pin","P3","HDR1X2","Header 2","1"
"10k Pot amplitude","Header, 2-Pin","P4","HDR1X2","Header 2","1"
"100k Pot sine amp","Header, 2-Pin","P5","HDR1X2","Header 2","1"
"100k Pot sin freq","Header, 2-Pin","P6","HDR1X2","Header 2","1"
"1k pot sin adjust","25 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 1 Turn Top Adjustment","P7","TRIM_3362P-1-253LF","3362P-1-253LF","1"
"BD139","Plastic Medium-Power Silicon NPN Transistor, 3-Pin TO-225, Bulk Box","Q1","ONSC-TO-225-3-77-09","CMP-1048-01271-1","1"
"BD140","Plastic Medium-Power Silicon PNP Transistor, 3-Pin TO-225, Bulk Box","Q2","ONSC-TO-225-3-77-09","CMP-1048-00039-1","1"
"27k","Resistor","R1","AXIAL-0.3","Res1","1"
"10k","Resistor","R2, R4, R9, R10, R12, R13, R15, R16","AXIAL-0.3","Res1","8"
"470","Resistor","R3","AXIAL-0.3","Res1","1"
"22k","Resistor","R5","AXIAL-0.3","Res1","1"
"1k","Resistor","R6, R7, R8, R11","AXIAL-0.3","Res1","4"
"220k","Resistor","R14","AXIAL-0.4","Res2","1"
"Capacitor selection switch","Rotary Switch 4 Position 3P4T 2.5A (AC), 350mA (DC) 125VAC Panel Mount, Through Hole","SW1","SW_A30403RNCQ","A30403RNCQ","1"
"Wave selection switch","Rotary Switch 4 Position 3P4T 2.5A (AC), 350mA (DC) 125VAC Panel Mount, Through Hole","SW3","SW_A30403RNCQ","A30403RNCQ","1"
